segment,day_start_approx,return_start_percent_approx,day_end_approx,return_end_percent_approx,marker_bridge
278,-14.42623,0.044964,-14.31694,0.044964,False
279,-14.42623,-0.169643,-14.31694,-0.169643,False
280,-14.42623,-0.392857,-14.31694,-0.392857,False
281,-14.42623,-0.455357,-14.31694,-0.455357,False
282,-14.42623,-0.830357,-14.31694,-0.839286,False
283,-14.31694,0.404676,-14.20765,0.422662,False
284,-14.31694,0.170863,-14.20765,0.170863,False
285,-14.31694,0.044964,-14.20765,0.044964,False
286,-14.31694,-0.169643,-14.20765,-0.169643,False
287,-14.31694,-0.392857,-14.20765,-0.392857,False
288,-14.31694,-0.455357,-14.20765,-0.464286,False
289,-14.31694,-0.839286,-14.20765,-0.803571,False
290,-14.31694,-0.839286,-14.20765,-0.883929,False
291,-14.20765,0.422662,-14.098361,0.440647,False
292,-14.20765,0.170863,-14.098361,0.170863,False
293,-14.20765,0.044964,-14.098361,0.044964,False
294,-14.20765,-0.169643,-14.098361,-0.169643,False
295,-14.20765,-0.392857,-14.098361,-0.392857,False
296,-14.20765,-0.464286,-14.098361,-0.464286,False
297,-14.20765,-0.803571,-14.098361,-0.803571,False
298,-14.20765,-0.883929,-14.098361,-0.901786,False
299,-14.098361,0.440647,-13.989071,0.440647,False
300,-14.098361,0.170863,-13.989071,0.170863,False
301,-14.098361,0.044964,-13.989071,0.035971,False
302,-14.098361,-0.169643,-13.989071,-0.169643,False
303,-14.098361,-0.392857,-13.989071,-0.401786,False
304,-14.098361,-0.464286,-13.989071,-0.473214,False
305,-14.098361,-0.803571,-13.989071,-0.794643,False
306,-14.098361,-0.901786,-13.989071,-0.919643,False
307,-13.989071,0.440647,-13.879781,0.440647,False
308,-13.989071,0.170863,-13.879781,0.170863,False
309,-13.989071,0.035971,-13.879781,0.044964,False
310,-13.989071,-0.169643,-13.879781,-0.169643,False
311,-13.989071,-0.401786,-13.879781,-0.410714,False
312,-13.989071,-0.473214,-13.879781,-0.482143,False
313,-13.989071,-0.794643,-13.879781,-0.785714,False
314,-13.989071,-0.919643,-13.879781,-0.928571,False
315,-13.879781,0.440647,-13.770492,0.44964,False
316,-13.879781,0.170863,-13.770492,0.134892,False
